Dist.(m),Target Picks Depth(m),
0.711,0.142,
1.223,0.122,
1.474,0.131,
1.723,0.120,
2.228,0.119,
2.486,0.128,
2.731,0.122,
3.234,0.122,
3.740,0.115,
4.231,0.106,
4.751,0.109,
5.263,0.115,
5.763,0.130,
6.263,0.120,
6.768,0.125,
7.268,0.130,
7.785,0.128,
8.282,0.134,
0.226,0.217,
0.463,0.194,
0.966,0.148,
1.977,0.142,
3.463,0.165,
3.971,0.140,
4.491,0.128,
4.983,0.149,
5.511,0.166,
6.014,0.159,
7.008,0.146,
7.525,0.148,
8.022,0.151,
8.800,0.145,
8.560,0.164,
9.057,0.153,
9.314,0.143,
9.562,0.175,
9.828,0.159,
10.071,0.191,
10.322,0.195,
